card1,card2,archetype,weight
Darkslick Shores,Underground River,Sultai Midrange,0.46506067607643536
Darkslick Shores,Underground River,Esper Control,0.3532435394630876
Restless Reef,Underground River,Dimir Control,1
Restless Reef,Underground River,Demons,1
Restless Reef,Underground River,Sultai Control,1
Restless Reef,Underground River,Dimir Midrange,0.8127768536691143
Restless Reef,Underground River,Draws,0.7771829163039172
Restless Reef,Underground River,Faeries,0.776700617285028
Restless Reef,Underground River,Self-Bounce,0.6840315536419563
Restless Reef,Underground River,Sultai Midrange,0.29203198744884235
Sheoldred's Edict,Underground River,Sultai Control,1
Sheoldred's Edict,Underground River,Dimir Control,0.8371906560604608
Sheoldred's Edict,Underground River,Self-Bounce,0.7076384222352329
Sheoldred's Edict,Underground River,Dimir Midrange,0.6717554198970486
Sheoldred's Edict,Underground River,Demons,0.6460160066870647
Sheoldred's Edict,Underground River,Faeries,0.6460160066870647
Gloomlake Verge,Underground River,Dimir Control,1
Gloomlake Verge,Underground River,Demons,1
