card1,card2,archetype,weight
Undercity Sewers,Wasteland,Beanstalk Control (Yorion),0.5295626332813306
Archon of Cruelty,Wasteland,Reanimator,0.5524354171618755
Archon of Cruelty,Wasteland,Beanstalk Control (Non-Yorion),0.5407968160325296
Polluted Delta,Wasteland,Vial,1
Polluted Delta,Wasteland,Stoneblade,1
Polluted Delta,Wasteland,Esper Control,1
Polluted Delta,Wasteland,Dimir Tempo,0.9986206027815216
Polluted Delta,Wasteland,Esper Tempo,0.9618847235549609
Polluted Delta,Wasteland,Reanimator,0.9050225011818624
Polluted Delta,Wasteland,Death's Shadow,0.8947808320300904
Polluted Delta,Wasteland,Beanstalk Control (Yorion),0.8894573164308047
Polluted Delta,Wasteland,Beanstalk Control (Non-Yorion),0.8623193954030117
Polluted Delta,Wasteland,Grixis Tempo,0.8277626757985024
Polluted Delta,Wasteland,Delver,0.8195527720966987
Polluted Delta,Wasteland,Mono-Blue Tempo,0.7771829163039172
Polluted Delta,Wasteland,Jeskai Tempo,0.7771829163039172
Polluted Delta,Wasteland,Azorius Control,0.7771829163039172
Polluted Delta,Wasteland,Stiflenought,0.6894299728714477
Island,Wasteland,Mono-Blue Tempo,0.9975523217520779
Island,Wasteland,Azorius Control,0.8947808320300904
Island,Wasteland,Stiflenought,0.8208965234888844
Island,Wasteland,Standstill,0.7771829163039172
Island,Wasteland,Stoneblade,0.7358221432726513
Island,Wasteland,Beanstalk Control (Non-Yorion),0.6564800909042824
Island,Wasteland,Dimir Tempo,0.6537532286632916
Island,Wasteland,Grixis Tempo,0.6460160066870647
Island,Wasteland,Cascade,0.6460160066870647
Island,Wasteland,Ocelot Pride Tempo,0.6460160066870647
Island,Wasteland,Esper Control,0.6460160066870647
Island,Wasteland,Jeskai Tempo,0.6460160066870647
Island,Wasteland,Delver,0.6458780029045976
Island,Wasteland,Vial,0.6403105064892143
Island,Wasteland,Esper Tempo,0.6078989042828306
Island,Wasteland,Reanimator,0.5526756187623131
Island,Wasteland,Beanstalk Control (Yorion),0.503633953684717
Brazen Borrower,Wasteland,Cascade,1
Brazen Borrower,Wasteland,Mono-Blue Tempo,0.8947808320300904
Brazen Borrower,Wasteland,Death's Shadow,0.7771829163039172
Brazen Borrower,Wasteland,Jeskai Tempo,0.7771829163039172
Brazen Borrower,Wasteland,Reanimator,0.718776993954515
Brazen Borrower,Wasteland,Dimir Tempo,0.6808940886108489
Brazen Borrower,Wasteland,Delver,0.6678808685036683
Brazen Borrower,Wasteland,Beanstalk Control (Non-Yorion),0.6564800909042824
Brazen Borrower,Wasteland,Stiflenought,0.6460160066870647
Brazen Borrower,Wasteland,Grixis Tempo,0.6460160066870647
Brazen Borrower,Wasteland,Esper Control,0.6460160066870647
